"location","total_customers","avg_spend","discount_rate","avg_history","organic_index"
"Kansas","63","54.56","0.24","23.38","219.9"
"Arizona","65","66.55","0.34","28.37","190.99"
"Tennessee","77","61.97","0.36","25.96","165.87"
"Texas","77","61.19","0.36","21.48","163.78"
"Alaska","72","67.6","0.4","28.1","163.76"
"Virginia","77","62.88","0.38","23.51","162.65"
"South Dakota","70","60.51","0.37","24.6","158.65"
"Maine","77","56.99","0.35","22.65","158.01"
"Connecticut","78","54.18","0.33","24","157.8"
"Montana","96","60.25","0.38","25.27","156.49"
